Data_Length,QR_Type_UPI,QR_Type_URL,QR_Type_TEXT,HTTPS,HTTP,Has_IP_Address,Number_of_Dots,Number_of_Slashes,Number_of_Hyphens,Number_of_Digits,Number_of_Special_Characters,Domain_Length,Domain_Entropy,Number_of_Subdomains,Is_URL_Shortener,Suspicious_TLD,Has_Executable_Ext,Suspicious_Keyword_Count,Has_Suspicious_Keyword,UPI_Payment_Address,UPI_Payee_Name,UPI_Merchant_Code,Label
22,0,1,0,0,1,0,1,3,0,2,5,7,2.5216,0,1,0,0,0,0,0,0,0,1
50,0,0,1,0,0,0,0,0,0,0,5,0,0.0,0,0,0,0,4,1,0,0,0,1
34,0,1,0,1,0,0,2,3,0,0,6,21,3.0823,1,0,0,0,0,0,0,0,0,0
42,0,1,0,1,0,0,2,4,1,0,8,17,3.2195,1,0,0,0,0,0,0,0,0,0
42,0,1,0,0,1,0,2,3,1,0,7,22,3.8797,0,0,1,1,2,1,0,0,0,1
35,0,1,0,1,0,0,2,4,0,0,7,14,3.182,1,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,2,5,0,5,8,15,2.6566,1,0,0,0,0,0,0,0,0,0
41,0,1,0,1,0,0,3,4,1,4,9,15,3.1396,2,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,2,0,7,13,42,4.3657,0,0,0,0,0,0,1,1,0,0
66,1,0,0,0,0,0,0,2,0,7,13,39,4.3043,0,0,0,0,0,0,1,1,0,0
54,0,1,0,0,1,0,5,3,1,0,10,39,4.0966,4,0,0,0,3,1,0,0,0,1
66,1,0,0,0,0,0,0,2,0,7,13,39,4.2975,0,0,0,0,0,0,1,1,0,0
30,1,0,0,0,0,0,0,2,0,3,7,24,3.8035,0,0,0,0,1,1,1,0,0,1
27,0,1,0,1,0,0,2,3,0,0,6,11,2.4817,1,0,0,0,0,0,0,0,0,0
20,0,1,0,0,1,0,1,3,0,0,5,5,2.3219,0,1,0,0,0,0,0,0,0,1
32,0,1,0,1,0,0,2,3,0,0,6,15,3.4566,1,0,0,0,0,0,0,0,0,0
41,0,1,0,0,1,1,4,3,1,10,9,13,2.6612,2,0,0,0,1,1,0,0,0,1
43,0,1,0,1,0,0,2,4,0,0,7,18,3.5305,1,0,0,0,1,1,0,0,0,0
38,0,1,0,0,1,0,2,3,2,0,8,19,3.5766,0,0,1,0,3,1,0,0,0,1
34,0,1,0,1,0,0,3,3,0,0,7,20,3.5464,2,0,0,0,1,1,0,0,0,0
25,0,1,0,0,1,0,1,3,0,1,5,10,3.1219,0,1,0,0,0,0,0,0,0,1
33,0,1,0,0,1,1,4,3,1,10,9,13,2.2878,2,0,0,0,1,1,0,0,0,1
31,0,1,0,1,0,0,2,3,0,1,6,17,2.9842,1,0,0,0,0,0,0,0,0,0
25,0,1,0,1,0,0,2,3,0,0,6,11,2.4817,1,0,0,0,1,1,0,0,0,0
45,0,1,0,1,0,0,2,4,1,0,8,20,3.5464,1,0,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,4,0,0,7,14,3.182,1,1,0,0,0,0,0,0,0,0
35,0,1,0,1,0,0,2,3,0,0,6,21,3.5945,1,0,0,0,0,0,0,0,0,0
49,0,1,0,1,0,0,2,4,1,0,8,22,3.6978,1,0,0,0,0,0,0,0,0,0
38,0,1,0,1,0,0,3,4,0,0,8,21,3.5226,2,0,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,3,0,0,6,17,3.2195,1,0,0,0,1,1,0,0,0,0
57,0,1,0,0,1,0,5,3,1,0,10,43,4.1093,4,0,0,0,4,1,0,0,0,1
30,0,1,0,1,0,0,2,3,0,0,6,14,2.8424,1,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,3,4,1,0,9,15,3.1396,2,0,0,0,0,0,0,0,0,0
45,0,1,0,0,1,0,2,3,1,0,7,25,4.0235,0,0,1,1,3,1,0,0,0,1
46,0,1,0,0,1,0,2,3,2,0,8,23,3.7081,0,0,1,0,3,1,0,0,0,1
44,0,1,0,0,1,0,2,3,1,0,7,24,3.8868,0,0,1,1,2,1,0,0,0,1
30,0,1,0,1,0,0,2,3,0,0,6,16,3.4528,1,0,0,0,2,1,0,0,0,0
20,0,1,0,0,1,0,1,3,0,1,5,5,2.3219,0,1,0,0,0,0,0,0,0,1
41,0,1,0,1,0,0,2,3,0,0,8,16,3.3278,1,0,0,0,0,0,0,0,0,0
41,0,1,0,1,0,0,2,3,0,0,8,16,3.5778,1,1,0,0,0,0,0,0,0,0
42,0,1,0,1,0,0,2,5,0,5,8,17,3.4548,1,0,0,0,0,0,0,0,0,0
42,0,1,0,1,0,0,2,4,0,0,7,21,3.5945,1,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,2,3,0,0,8,15,3.0566,1,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,3,3,0,0,9,15,3.1396,2,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,14,2.8424,1,0,0,0,0,0,0,0,0,0
38,0,1,0,0,1,1,4,3,1,12,9,15,2.4159,2,0,0,0,1,1,0,0,0,1
22,0,1,0,1,0,0,2,2,0,0,5,14,3.182,1,0,0,0,0,0,0,0,0,0
44,0,1,0,0,1,0,2,3,1,0,7,24,3.7406,0,0,1,1,2,1,0,0,0,1
42,0,1,0,1,0,0,2,4,0,0,7,17,3.1307,1,0,0,0,2,1,0,0,0,0
23,0,1,0,1,0,0,2,2,0,0,5,15,2.6566,1,0,0,0,0,0,0,0,0,0
87,1,0,0,0,0,0,0,2,0,9,14,51,4.3292,0,0,0,0,0,0,1,1,0,0
42,1,0,0,0,0,0,0,2,0,5,10,36,4.3083,0,0,0,0,2,1,0,1,0,1
33,0,1,0,1,0,0,2,3,0,0,6,17,3.4548,1,0,0,0,0,0,0,0,0,0
33,0,1,0,1,0,0,2,3,0,0,6,20,3.5464,1,0,0,0,0,0,0,0,0,0
22,0,1,0,0,1,0,1,3,0,0,5,7,2.5216,0,1,0,0,0,0,0,0,0,1
26,0,1,0,1,0,0,2,3,0,0,6,12,3.0221,1,0,0,0,0,0,0,0,0,0
54,0,1,0,0,1,0,5,3,1,0,10,40,3.8971,4,0,0,0,2,1,0,0,0,1
48,0,1,0,0,1,0,2,3,2,0,8,28,4.0122,0,0,1,0,3,1,0,0,0,1
39,0,1,0,0,1,0,2,3,2,0,8,20,3.9219,0,0,1,0,2,1,0,0,0,1
35,0,1,0,1,0,0,2,3,0,0,8,10,2.6464,1,0,0,0,0,0,0,0,0,0
22,0,1,0,0,1,0,1,3,0,1,5,7,2.5216,0,1,0,0,0,0,0,0,0,1
32,0,1,0,1,0,0,2,4,0,0,7,15,3.1899,1,0,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,2,0,11,17,61,4.3943,0,0,0,0,1,1,1,1,1,0
38,0,1,0,1,0,0,2,4,0,0,7,21,3.0823,1,0,0,0,0,0,0,0,0,0
44,0,1,0,1,0,0,2,4,1,1,8,17,2.9842,1,0,0,0,0,0,0,0,0,0
42,0,1,0,0,1,0,2,3,2,0,8,23,3.9149,0,0,1,0,3,1,0,0,0,1
40,0,1,0,0,1,0,2,3,1,0,7,20,3.7464,0,0,1,1,2,1,0,0,0,1
26,0,1,0,1,0,0,2,3,0,0,6,10,2.6464,1,0,0,0,0,0,0,0,0,0
46,0,1,0,0,1,0,2,3,1,0,7,26,3.998,0,0,1,1,2,1,0,0,0,1
29,0,1,0,1,0,0,2,3,0,0,6,15,3.4566,1,0,0,0,1,1,0,0,0,0
42,0,1,0,1,0,0,2,4,0,0,7,17,3.2195,1,0,0,0,1,1,0,0,0,0
38,0,1,0,1,0,0,2,4,1,4,8,12,3.0221,1,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,2,5,0,5,8,15,3.3232,1,0,0,0,0,0,0,0,0,0
44,0,1,0,0,1,0,2,3,1,0,7,24,3.7516,0,0,1,1,2,1,0,0,0,1
41,0,1,0,1,0,0,2,4,0,0,7,16,3.5778,1,1,0,0,1,1,0,0,0,0
26,0,1,0,0,1,0,1,3,0,3,5,11,3.4594,0,1,0,0,0,0,0,0,0,1
39,0,1,0,1,0,0,2,4,1,0,8,14,2.8424,1,0,0,0,0,0,0,0,0,0
46,0,1,0,1,0,0,3,4,1,0,9,21,3.5226,2,0,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,3,0,0,6,18,3.5305,1,0,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,2,4,1,0,8,14,2.8424,1,0,0,0,0,0,0,0,0,0
38,0,1,0,0,1,1,4,3,1,11,9,14,2.8963,2,0,0,0,1,1,0,0,0,1
34,0,1,0,1,0,0,2,4,0,0,7,13,3.027,1,0,0,0,0,0,0,0,0,0
19,0,1,0,1,0,0,2,2,0,0,5,11,2.4817,1,0,0,0,0,0,0,0,0,0
27,0,1,0,1,0,0,2,3,0,0,6,14,3.182,1,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,2,0,4,9,37,4.3374,0,0,0,0,1,1,0,0,0,1
38,0,1,0,1,0,0,2,4,1,0,8,13,2.8731,1,0,0,0,0,0,0,0,0,0
38,0,1,0,1,0,0,2,5,0,5,8,13,3.027,1,0,0,0,0,0,0,0,0,0
49,0,1,0,0,1,0,2,3,1,0,7,29,3.9918,0,0,1,1,3,1,0,0,0,1
23,0,1,0,1,0,0,2,2,0,0,5,15,3.1899,1,0,0,0,0,0,0,0,0,0
25,0,1,0,1,0,0,2,3,0,0,6,11,2.5503,1,0,0,0,0,0,0,0,0,0
38,0,1,0,1,0,0,3,4,1,0,9,13,2.8151,2,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,2,0,4,9,32,4.3903,0,0,0,0,1,1,0,0,0,1
31,0,1,0,1,0,0,3,3,0,0,7,14,2.8424,2,0,0,0,0,0,0,0,0,0
39,0,1,0,0,1,0,2,3,2,0,8,20,3.6842,0,0,1,0,3,1,0,0,0,1
38,0,1,0,0,1,1,4,3,1,10,9,13,2.6612,2,0,0,0,1,1,0,0,0,1
37,0,1,0,1,0,0,3,4,0,0,8,16,3.1085,2,0,0,0,0,0,0,0,0,0
46,0,1,0,1,0,0,2,3,0,0,8,21,3.0823,1,0,0,0,0,0,0,0,0,0
24,0,0,1,0,0,0,0,0,0,4,3,0,0.0,0,0,0,0,1,1,0,0,0,0
31,0,1,0,1,0,0,2,3,0,0,6,15,3.3232,1,0,0,0,0,0,0,0,0,0
34,0,1,0,1,0,0,2,3,0,0,6,21,3.5945,1,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,2,4,1,0,8,13,3.027,1,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,2,3,0,0,6,16,3.3278,1,0,0,0,0,0,0,0,0,0
26,0,1,0,1,0,0,2,3,0,0,6,12,3.0221,1,0,0,0,0,0,0,0,0,0
42,0,1,0,1,0,0,2,4,1,4,8,16,3.5778,1,1,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,2,4,0,0,7,15,3.3232,1,0,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,4,0,0,7,14,2.9502,1,0,0,0,0,0,0,0,0,0
42,0,1,0,1,0,0,2,4,1,0,8,17,3.1751,1,1,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,3,3,0,0,7,15,3.1396,2,0,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,2,0,11,17,61,4.5126,0,0,0,0,1,1,1,1,1,0
28,1,0,0,0,0,0,0,2,0,3,7,22,3.7544,0,0,0,0,1,1,1,0,0,1
44,0,1,0,0,1,0,2,3,1,0,7,24,3.6887,0,0,1,1,2,1,0,0,0,1
41,0,1,0,1,0,0,2,4,1,0,8,14,3.0391,1,0,0,0,0,0,0,0,0,0
22,0,1,0,1,0,0,2,2,0,0,5,14,3.3249,1,0,0,0,0,0,0,0,0,0
43,0,1,0,1,0,0,2,4,0,0,7,18,3.0588,1,0,0,0,1,1,0,0,0,0
28,0,0,1,0,0,0,0,0,1,5,5,0,0.0,0,0,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,2,0,13,18,70,4.4761,0,0,0,0,1,1,1,1,1,0
37,0,1,0,0,1,1,4,3,1,8,9,11,2.2313,2,0,0,0,1,1,0,0,0,1
44,1,0,0,0,0,0,0,2,0,5,10,38,4.4316,0,0,0,0,2,1,0,1,0,1
39,1,0,0,0,0,0,0,2,0,4,9,33,4.332,0,0,0,0,1,1,0,0,0,1
48,0,0,1,0,0,0,0,0,0,0,6,0,0.0,0,0,0,0,4,1,0,0,0,1
43,0,1,0,1,0,0,2,4,1,0,8,16,3.4528,1,0,0,0,1,1,0,0,0,0
40,1,0,0,0,0,0,0,2,0,5,10,34,4.3516,0,0,0,0,2,1,0,1,0,1
27,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,1,1,0,0,0,0
40,0,1,0,1,0,0,2,4,0,0,7,15,3.3232,1,0,0,0,1,1,0,0,0,0
42,0,1,0,1,0,0,2,3,0,0,8,17,3.4548,1,0,0,0,0,0,0,0,0,0
43,0,1,0,0,1,0,2,3,2,0,8,26,3.9501,0,0,1,0,3,1,0,0,0,1
19,0,1,0,0,1,0,1,3,0,0,5,4,2.0,0,1,0,0,0,0,0,0,0,1
37,0,1,0,1,0,0,2,4,1,4,8,11,2.4817,1,0,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,2,3,0,0,8,14,3.182,1,0,0,0,0,0,0,0,0,0
33,0,1,0,1,0,0,2,3,0,0,6,17,3.2195,1,0,0,0,0,0,0,0,0,0
23,0,1,0,1,0,0,2,2,0,0,5,15,3.3232,1,0,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,4,0,0,7,14,3.0391,1,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,2,0,5,10,36,4.2873,0,0,0,0,2,1,0,1,0,1
15,0,0,1,0,0,0,0,0,0,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,2,5,0,5,8,15,3.1899,1,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,14,3.182,1,1,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,2,0,7,13,42,4.2345,0,0,0,0,0,0,1,1,0,0
34,0,1,0,1,0,0,2,3,0,0,6,17,3.1751,1,1,0,0,0,0,0,0,0,0
34,0,1,0,1,0,0,2,4,0,0,7,17,3.2195,1,0,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,2,4,0,0,7,14,3.0391,1,0,0,0,1,1,0,0,0,0
27,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,1,1,0,0,0,0
29,0,0,1,0,0,0,1,0,0,0,6,0,0.0,0,0,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,3,0,0,6,15,3.3232,1,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,14,2.9502,1,0,0,0,0,0,0,0,0,0
36,0,1,0,0,1,1,4,3,1,9,9,12,2.8554,2,0,0,0,1,1,0,0,0,1
49,0,1,0,0,1,0,2,3,2,0,8,29,4.1163,0,0,1,0,3,1,0,0,0,1
30,1,0,0,0,0,0,0,2,0,3,7,24,3.9387,0,0,0,0,1,1,1,0,0,1
27,0,1,0,1,0,0,3,3,0,0,7,13,2.8151,2,0,0,0,1,1,0,0,0,0
29,0,1,0,1,0,0,2,3,0,0,6,15,3.4566,1,0,0,0,1,1,0,0,0,0
27,0,0,1,0,0,0,0,0,1,0,5,0,0.0,0,0,0,0,0,0,0,0,0,0
39,0,1,0,0,1,1,4,3,1,9,9,12,2.3962,2,0,0,0,1,1,0,0,0,1
32,0,0,1,0,0,0,0,0,0,0,4,0,0.0,0,0,0,0,0,0,0,0,0,0
39,0,1,0,0,1,1,4,3,1,9,9,12,2.5221,2,0,0,0,1,1,0,0,0,1
38,0,1,0,0,1,1,4,3,1,10,9,13,2.6612,2,0,0,0,1,1,0,0,0,1
38,0,1,0,1,0,0,2,4,0,0,7,21,3.5945,1,0,0,0,0,0,0,0,0,0
56,0,1,0,0,1,0,5,3,1,0,10,42,3.8269,4,0,0,0,3,1,0,0,0,1
37,0,1,0,0,1,1,4,3,1,9,9,12,2.6887,2,0,0,0,1,1,0,0,0,1
47,0,1,0,0,1,0,2,3,2,0,8,29,3.9918,0,0,1,0,4,1,0,0,0,1
38,0,1,0,1,0,0,2,5,0,5,8,13,3.027,1,0,0,0,0,0,0,0,0,0
29,0,1,0,1,0,0,3,3,0,0,7,15,3.1396,2,0,0,0,0,0,0,0,0,0
39,0,1,0,0,1,1,4,3,1,10,9,13,2.8151,2,0,0,0,1,1,0,0,0,1
40,0,1,0,1,0,0,3,4,1,0,9,13,2.8151,2,0,0,0,0,0,0,0,0,0
39,0,1,0,0,1,0,2,3,2,0,8,20,3.8842,0,0,1,0,3,1,0,0,0,1
89,1,0,0,0,0,0,0,2,0,11,17,60,4.5733,0,0,0,0,1,1,1,1,1,0
85,1,0,0,0,0,0,0,2,0,11,17,58,4.4253,0,0,0,0,1,1,1,1,1,0
39,0,1,0,0,1,1,4,3,1,12,9,15,2.7899,2,0,0,0,1,1,0,0,0,1
55,0,1,0,0,1,0,5,3,1,0,10,42,3.9011,4,0,0,0,3,1,0,0,0,1
22,0,1,0,1,0,0,2,2,0,0,5,14,2.8424,1,0,0,0,0,0,0,0,0,0
45,0,1,0,0,1,0,2,3,1,0,7,25,3.7835,0,0,1,1,2,1,0,0,0,1
37,0,1,0,1,0,0,2,4,1,0,8,10,2.6464,1,0,0,0,0,0,0,0,0,0
51,0,0,1,0,0,0,0,0,0,0,6,0,0.0,0,0,0,0,5,1,0,0,0,1
32,0,1,0,1,0,0,2,3,0,0,6,16,3.3278,1,0,0,0,0,0,0,0,0,0
43,0,1,0,1,0,0,2,4,0,0,7,18,3.0588,1,0,0,0,1,1,0,0,0,0
36,0,1,0,1,0,0,2,4,1,0,8,19,3.5369,1,0,0,0,0,0,0,0,0,0
44,0,1,0,0,1,0,2,3,1,0,7,24,3.4183,0,0,1,1,1,1,0,0,0,1
42,0,1,0,1,0,0,3,4,1,0,9,15,2.8226,2,0,0,0,0,0,0,0,0,0
41,0,1,0,0,1,0,2,3,2,0,8,23,3.2203,0,0,1,0,3,1,0,0,0,1
89,1,0,0,0,0,0,0,2,0,11,17,60,4.5618,0,0,0,0,1,1,1,1,1,0
22,0,1,0,1,0,0,3,2,0,0,6,14,2.8424,2,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,2,4,1,0,8,15,3.0566,1,0,0,0,0,0,0,0,0,0
37,0,1,0,0,1,1,4,3,1,11,9,14,2.5027,2,0,0,0,1,1,0,0,0,1
39,0,1,0,1,0,0,2,4,1,0,8,14,3.182,1,0,0,0,0,0,0,0,0,0
50,0,1,0,0,1,0,5,3,1,0,10,37,4.0237,4,0,0,0,2,1,0,0,0,1
37,0,1,0,0,1,1,4,3,1,10,9,13,2.5654,2,0,0,0,1,1,0,0,0,1
39,0,1,0,1,0,0,2,3,0,0,8,14,3.182,1,0,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,2,0,5,10,34,4.2561,0,0,0,0,2,1,0,1,0,1
27,0,1,0,1,0,0,3,3,0,0,7,13,2.8151,2,0,0,0,1,1,0,0,0,0
38,0,1,0,1,0,0,3,4,0,0,8,13,2.8151,2,0,0,0,1,1,0,0,0,0
24,0,0,1,0,0,0,0,0,0,5,4,0,0.0,0,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,17,3.2195,1,0,0,0,0,0,0,0,0,0
41,0,1,0,0,1,0,2,3,2,0,8,21,3.7849,0,0,1,0,3,1,0,0,0,1
38,0,1,0,0,1,0,2,3,1,0,7,18,3.3502,0,0,1,0,2,1,0,0,0,1
38,0,1,0,1,0,0,2,4,0,0,7,21,3.5945,1,0,0,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,2,0,7,13,41,4.4178,0,0,0,0,0,0,1,1,0,0
21,0,1,0,0,1,0,1,3,0,1,5,6,2.585,0,1,0,0,0,0,0,0,0,1
44,0,1,0,0,1,0,2,3,2,0,8,25,3.8137,0,0,1,0,3,1,0,0,0,1
28,0,1,0,1,0,0,2,3,0,0,6,12,2.8554,1,0,0,0,0,0,0,0,0,0
32,0,1,0,1,0,0,2,4,0,0,7,15,3.3232,1,0,0,0,0,0,0,0,0,0
43,0,1,0,1,0,0,2,4,0,0,7,18,3.5305,1,0,0,0,1,1,0,0,0,0
28,0,1,0,1,0,0,2,3,0,0,6,14,2.8424,1,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,4,0,0,7,13,2.8731,1,0,0,0,0,0,0,0,0,0
25,0,1,0,1,0,0,2,3,0,0,6,11,2.6635,1,0,0,0,0,0,0,0,0,0
35,0,1,0,1,0,0,2,4,0,0,7,14,3.3249,1,0,0,0,0,0,0,0,0,0
22,0,1,0,0,1,0,1,3,0,4,5,7,2.5216,0,1,0,0,0,0,0,0,0,1
31,0,1,0,1,0,0,2,3,0,0,6,14,2.8424,1,0,0,0,0,0,0,0,0,0
26,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,0,0,0,0,0,0
